Manufacturer,Manufacturer Part #,Qty,Description Value Pkg,Reference(s)
Molex,541323262,1,"32 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle",J1
Samtec Inc.,SSM-115-L-SV,2,"15 Position Receptacle, Pass Through Connector 0.100"" (2.54mm) Surface Mount Gold","TOUCH1, TOUCH2"
Samtec Inc.,SSM-106-L-SV,1,"6 Position Receptacle, Pass Through Connector 0.100"" (2.54mm) Surface Mount Gold",TOUCH3
JST Sales America Inc.,SM04B-SRSS-TB,4,"Connector Header Surface Mount, Right Angle 4 position 0.039"" (1.00mm)","I2C1,I2C2,INT1,INT2"
